# train_acc test_acc
2.560000000000000053e-01 2.359999999999999876e-01
6.850000000000000533e-01 6.800000000000000488e-01
7.720000000000000195e-01 7.239999999999999769e-01
8.249999999999999556e-01 8.040000000000000480e-01
8.840000000000000080e-01 8.960000000000000187e-01
8.910000000000000142e-01 8.800000000000000044e-01
9.070000000000000284e-01 9.040000000000000258e-01
9.210000000000000409e-01 9.399999999999999467e-01
9.080000000000000293e-01 9.080000000000000293e-01
9.200000000000000400e-01 9.320000000000000506e-01
9.389999999999999458e-01 9.320000000000000506e-01
9.310000000000000497e-01 9.360000000000000542e-01
9.280000000000000471e-01 9.320000000000000506e-01
9.409999999999999476e-01 9.360000000000000542e-01
9.360000000000000542e-01 9.439999999999999503e-01
9.340000000000000524e-01 9.240000000000000435e-01
9.240000000000000435e-01 9.320000000000000506e-01
9.439999999999999503e-01 9.439999999999999503e-01
9.439999999999999503e-01 9.399999999999999467e-01
9.280000000000000471e-01 9.240000000000000435e-01
9.310000000000000497e-01 9.479999999999999538e-01
9.399999999999999467e-01 9.479999999999999538e-01
9.409999999999999476e-01 9.320000000000000506e-01
9.449999999999999512e-01 9.479999999999999538e-01
9.449999999999999512e-01 9.360000000000000542e-01
9.260000000000000453e-01 9.160000000000000364e-01
9.449999999999999512e-01 9.479999999999999538e-01
9.449999999999999512e-01 9.439999999999999503e-01
9.379999999999999449e-01 9.519999999999999574e-01
9.449999999999999512e-01 9.399999999999999467e-01
9.429999999999999494e-01 9.599999999999999645e-01
9.340000000000000524e-01 9.519999999999999574e-01
9.439999999999999503e-01 9.479999999999999538e-01
9.360000000000000542e-01 9.360000000000000542e-01
9.469999999999999529e-01 9.559999999999999609e-01
9.459999999999999520e-01 9.439999999999999503e-01
9.469999999999999529e-01 9.599999999999999645e-01
9.489999999999999547e-01 9.439999999999999503e-01
9.370000000000000551e-01 9.399999999999999467e-01
9.419999999999999485e-01 9.479999999999999538e-01
9.459999999999999520e-01 9.559999999999999609e-01
9.489999999999999547e-01 9.559999999999999609e-01
9.409999999999999476e-01 9.519999999999999574e-01
9.419999999999999485e-01 9.519999999999999574e-01
9.389999999999999458e-01 9.479999999999999538e-01
9.469999999999999529e-01 9.599999999999999645e-01
9.519999999999999574e-01 9.599999999999999645e-01
9.469999999999999529e-01 9.479999999999999538e-01
9.479999999999999538e-01 9.599999999999999645e-01
9.549999999999999600e-01 9.639999999999999680e-01
9.439999999999999503e-01 9.399999999999999467e-01
