# train_acc test_acc
7.133333333333333193e-02 7.199999999999999456e-02
4.923333333333333450e-01 4.839999999999999858e-01
5.733333333333333615e-01 5.440000000000000391e-01
6.413333333333333108e-01 6.059999999999999831e-01
6.380000000000000115e-01 6.199999999999999956e-01
6.713333333333333375e-01 6.520000000000000240e-01
6.563333333333333242e-01 6.560000000000000275e-01
6.776666666666666394e-01 6.600000000000000311e-01
6.813333333333333464e-01 6.500000000000000222e-01
6.710000000000000409e-01 6.560000000000000275e-01
7.059999999999999609e-01 6.820000000000000506e-01
7.356666666666666909e-01 7.159999999999999698e-01
7.690000000000000169e-01 7.540000000000000036e-01
8.040000000000000480e-01 7.760000000000000231e-01
7.526666666666667060e-01 7.419999999999999929e-01
7.980000000000000426e-01 7.800000000000000266e-01
8.056666666666666421e-01 7.840000000000000302e-01
8.249999999999999556e-01 8.219999999999999529e-01
8.426666666666666750e-01 8.359999999999999654e-01
8.339999999999999636e-01 8.299999999999999600e-01
8.443333333333333801e-01 8.279999999999999583e-01
8.586666666666666892e-01 8.599999999999999867e-01
8.633333333333332860e-01 8.619999999999999885e-01
8.619999999999999885e-01 8.499999999999999778e-01
8.656666666666666954e-01 8.619999999999999885e-01
8.586666666666666892e-01 8.539999999999999813e-01
8.736666666666667025e-01 8.639999999999999902e-01
8.780000000000000027e-01 8.599999999999999867e-01
8.656666666666666954e-01 8.579999999999999849e-01
8.930000000000000160e-01 8.760000000000000009e-01
8.760000000000000009e-01 8.539999999999999813e-01
8.723333333333332940e-01 8.579999999999999849e-01
8.970000000000000195e-01 8.860000000000000098e-01
8.990000000000000213e-01 8.760000000000000009e-01
9.056666666666666199e-01 8.820000000000000062e-01
8.843333333333333046e-01 8.659999999999999920e-01
9.033333333333333215e-01 8.920000000000000151e-01
8.933333333333333126e-01 8.739999999999999991e-01
8.803333333333333011e-01 8.760000000000000009e-01
9.060000000000000275e-01 8.820000000000000062e-01
8.906666666666667176e-01 8.760000000000000009e-01
8.993333333333333179e-01 8.780000000000000027e-01
9.120000000000000329e-01 8.880000000000000115e-01
9.150000000000000355e-01 9.060000000000000275e-01
8.980000000000000204e-01 8.780000000000000027e-01
9.193333333333333357e-01 8.940000000000000169e-01
8.793333333333333002e-01 8.579999999999999849e-01
8.920000000000000151e-01 8.840000000000000080e-01
9.040000000000000258e-01 8.760000000000000009e-01
9.033333333333333215e-01 8.840000000000000080e-01
9.083333333333333259e-01 8.840000000000000080e-01
