# train_acc test_acc
7.133333333333333193e-02 7.199999999999999456e-02
5.343333333333333268e-01 5.200000000000000178e-01
5.966666666666666785e-01 5.899999999999999689e-01
5.909999999999999698e-01 5.759999999999999565e-01
6.346666666666667123e-01 6.119999999999999885e-01
6.516666666666666163e-01 6.460000000000000187e-01
6.746666666666666368e-01 6.480000000000000204e-01
6.806666666666666421e-01 6.680000000000000382e-01
6.870000000000000551e-01 6.800000000000000488e-01
7.109999999999999654e-01 6.840000000000000524e-01
7.269999999999999796e-01 6.999999999999999556e-01
7.553333333333333011e-01 7.179999999999999716e-01
6.800000000000000488e-01 6.420000000000000151e-01
7.563333333333333020e-01 7.540000000000000036e-01
7.093333333333333712e-01 6.939999999999999503e-01
7.976666666666666350e-01 7.840000000000000302e-01
7.546666666666667078e-01 7.379999999999999893e-01
7.926666666666666305e-01 7.840000000000000302e-01
7.936666666666666314e-01 7.620000000000000107e-01
8.236666666666666581e-01 8.159999999999999476e-01
7.940000000000000391e-01 7.720000000000000195e-01
8.126666666666666483e-01 8.000000000000000444e-01
8.276666666666666616e-01 8.100000000000000533e-01
8.159999999999999476e-01 8.020000000000000462e-01
8.173333333333333561e-01 8.000000000000000444e-01
8.299999999999999600e-01 8.239999999999999547e-01
8.429999999999999716e-01 8.299999999999999600e-01
8.346666666666666679e-01 8.259999999999999565e-01
8.309999999999999609e-01 8.179999999999999494e-01
8.463333333333333819e-01 8.379999999999999671e-01
8.346666666666666679e-01 8.279999999999999583e-01
8.503333333333333854e-01 8.319999999999999618e-01
8.403333333333333766e-01 8.399999999999999689e-01
8.286666666666666625e-01 8.299999999999999600e-01
8.583333333333332815e-01 8.439999999999999725e-01
8.566666666666666874e-01 8.519999999999999796e-01
8.473333333333333828e-01 8.219999999999999529e-01
8.709999999999999964e-01 8.319999999999999618e-01
8.546666666666666856e-01 8.539999999999999813e-01
8.623333333333332851e-01 8.539999999999999813e-01
8.596666666666666901e-01 8.359999999999999654e-01
8.739999999999999991e-01 8.479999999999999760e-01
8.669999999999999929e-01 8.539999999999999813e-01
8.623333333333332851e-01 8.599999999999999867e-01
8.753333333333332966e-01 8.639999999999999902e-01
8.810000000000000053e-01 8.760000000000000009e-01
8.803333333333333011e-01 8.840000000000000080e-01
8.726666666666667016e-01 8.499999999999999778e-01
8.800000000000000044e-01 8.719999999999999973e-01
8.619999999999999885e-01 8.419999999999999707e-01
8.860000000000000098e-01 8.739999999999999991e-01
