# train_acc test_acc
7.133333333333333193e-02 7.199999999999999456e-02
4.756666666666666821e-01 4.640000000000000235e-01
5.809999999999999609e-01 5.540000000000000480e-01
6.049999999999999822e-01 5.919999999999999707e-01
6.503333333333333188e-01 6.179999999999999938e-01
6.740000000000000435e-01 6.660000000000000364e-01
6.516666666666666163e-01 6.340000000000000080e-01
7.136666666666666714e-01 7.059999999999999609e-01
6.979999999999999538e-01 6.919999999999999485e-01
7.503333333333332966e-01 7.339999999999999858e-01
7.576666666666667105e-01 7.439999999999999947e-01
7.449999999999999956e-01 7.379999999999999893e-01
7.726666666666666128e-01 7.580000000000000071e-01
8.126666666666666483e-01 7.700000000000000178e-01
8.060000000000000497e-01 7.940000000000000391e-01
8.369999999999999662e-01 8.259999999999999565e-01
8.216666666666666563e-01 8.139999999999999458e-01
7.720000000000000195e-01 7.520000000000000018e-01
7.653333333333333099e-01 7.740000000000000213e-01
8.339999999999999636e-01 8.299999999999999600e-01
8.443333333333333801e-01 8.040000000000000480e-01
8.436666666666666758e-01 8.299999999999999600e-01
8.379999999999999671e-01 8.219999999999999529e-01
8.309999999999999609e-01 7.960000000000000409e-01
8.459999999999999742e-01 8.359999999999999654e-01
8.606666666666666909e-01 8.519999999999999796e-01
8.506666666666666821e-01 8.399999999999999689e-01
8.609999999999999876e-01 8.439999999999999725e-01
8.539999999999999813e-01 8.399999999999999689e-01
8.653333333333332877e-01 8.719999999999999973e-01
8.579999999999999849e-01 8.439999999999999725e-01
8.643333333333332869e-01 8.399999999999999689e-01
8.716666666666667007e-01 8.619999999999999885e-01
8.826666666666667105e-01 8.760000000000000009e-01
8.703333333333332922e-01 8.639999999999999902e-01
8.719999999999999973e-01 8.539999999999999813e-01
8.803333333333333011e-01 8.760000000000000009e-01
8.776666666666667060e-01 8.739999999999999991e-01
8.796666666666667078e-01 8.399999999999999689e-01
8.876666666666667149e-01 8.900000000000000133e-01
8.910000000000000142e-01 8.739999999999999991e-01
8.930000000000000160e-01 8.659999999999999920e-01
8.736666666666667025e-01 8.599999999999999867e-01
8.669999999999999929e-01 8.319999999999999618e-01
8.830000000000000071e-01 8.679999999999999938e-01
8.853333333333333055e-01 8.800000000000000044e-01
8.946666666666667211e-01 8.940000000000000169e-01
8.953333333333333144e-01 8.820000000000000062e-01
8.786666666666667069e-01 8.499999999999999778e-01
8.649999999999999911e-01 8.359999999999999654e-01
8.289999999999999591e-01 8.179999999999999494e-01
