# train_acc test_acc
4.333333333333333134e-03 0.000000000000000000e+00
2.946666666666666878e-01 2.919999999999999818e-01
3.216666666666666563e-01 3.079999999999999960e-01
4.329999999999999960e-01 4.179999999999999827e-01
5.759999999999999565e-01 5.600000000000000533e-01
5.530000000000000471e-01 5.580000000000000515e-01
6.356666666666667131e-01 6.320000000000000062e-01
6.333333333333333037e-01 6.320000000000000062e-01
6.290000000000000036e-01 6.260000000000000009e-01
6.813333333333333464e-01 6.740000000000000435e-01
6.800000000000000488e-01 6.939999999999999503e-01
6.496666666666666146e-01 6.460000000000000187e-01
7.003333333333333632e-01 7.219999999999999751e-01
6.730000000000000426e-01 6.860000000000000542e-01
6.646666666666666279e-01 6.919999999999999485e-01
6.979999999999999538e-01 7.059999999999999609e-01
6.823333333333333472e-01 6.740000000000000435e-01
7.239999999999999769e-01 7.359999999999999876e-01
7.243333333333333846e-01 7.279999999999999805e-01
7.196666666666666767e-01 7.379999999999999893e-01
7.059999999999999609e-01 7.139999999999999680e-01
7.510000000000000009e-01 7.620000000000000107e-01
7.456666666666666998e-01 7.199999999999999734e-01
7.346666666666666901e-01 7.339999999999999858e-01
6.983333333333333615e-01 6.939999999999999503e-01
7.473333333333332940e-01 7.419999999999999929e-01
7.263333333333333863e-01 7.479999999999999982e-01
6.850000000000000533e-01 6.780000000000000471e-01
7.423333333333332895e-01 7.399999999999999911e-01
7.550000000000000044e-01 7.700000000000000178e-01
7.703333333333333144e-01 7.660000000000000142e-01
7.573333333333333028e-01 7.399999999999999911e-01
7.523333333333332984e-01 7.580000000000000071e-01
7.560000000000000053e-01 7.780000000000000249e-01
6.846666666666666456e-01 6.620000000000000329e-01
7.566666666666667096e-01 7.339999999999999858e-01
7.736666666666666137e-01 7.660000000000000142e-01
7.256666666666666821e-01 6.860000000000000542e-01
7.670000000000000151e-01 7.540000000000000036e-01
7.700000000000000178e-01 7.780000000000000249e-01
7.510000000000000009e-01 7.660000000000000142e-01
7.479999999999999982e-01 7.419999999999999929e-01
7.299999999999999822e-01 7.459999999999999964e-01
7.676666666666667194e-01 7.740000000000000213e-01
7.783333333333333215e-01 7.680000000000000160e-01
7.946666666666666323e-01 7.740000000000000213e-01
7.793333333333333224e-01 7.800000000000000266e-01
7.860000000000000320e-01 7.600000000000000089e-01
7.876666666666666261e-01 7.780000000000000249e-01
7.796666666666666190e-01 7.620000000000000107e-01
7.766666666666666163e-01 7.540000000000000036e-01
