# train_acc test_acc
8.766666666666667052e-02 8.400000000000000522e-02
5.220000000000000195e-01 5.140000000000000124e-01
5.440000000000000391e-01 5.300000000000000266e-01
6.723333333333333384e-01 6.560000000000000275e-01
6.996666666666666590e-01 6.899999999999999467e-01
6.713333333333333375e-01 6.860000000000000542e-01
6.939999999999999503e-01 6.820000000000000506e-01
7.293333333333332780e-01 7.199999999999999734e-01
7.156666666666666732e-01 6.939999999999999503e-01
6.373333333333333073e-01 6.320000000000000062e-01
6.826666666666666439e-01 6.979999999999999538e-01
7.036666666666666625e-01 6.800000000000000488e-01
7.393333333333332869e-01 7.419999999999999929e-01
7.336666666666666892e-01 7.379999999999999893e-01
7.466666666666667007e-01 7.359999999999999876e-01
7.763333333333333197e-01 7.379999999999999893e-01
7.646666666666667167e-01 7.259999999999999787e-01
8.066666666666666430e-01 7.720000000000000195e-01
7.173333333333333783e-01 7.019999999999999574e-01
7.823333333333333250e-01 7.800000000000000266e-01
8.066666666666666430e-01 7.920000000000000373e-01
7.890000000000000346e-01 7.740000000000000213e-01
7.943333333333333357e-01 7.740000000000000213e-01
7.786666666666666181e-01 7.580000000000000071e-01
7.926666666666666305e-01 7.640000000000000124e-01
7.850000000000000311e-01 7.680000000000000160e-01
7.676666666666667194e-01 7.500000000000000000e-01
7.926666666666666305e-01 7.660000000000000142e-01
7.983333333333333393e-01 7.880000000000000338e-01
8.013333333333333419e-01 7.940000000000000391e-01
8.199999999999999512e-01 8.000000000000000444e-01
8.073333333333333472e-01 7.900000000000000355e-01
8.023333333333333428e-01 7.920000000000000373e-01
8.136666666666666492e-01 8.120000000000000551e-01
7.820000000000000284e-01 7.700000000000000178e-01
8.176666666666666528e-01 7.980000000000000426e-01
8.169999999999999485e-01 7.840000000000000302e-01
7.983333333333333393e-01 7.800000000000000266e-01
8.276666666666666616e-01 8.159999999999999476e-01
8.123333333333333517e-01 7.840000000000000302e-01
8.000000000000000444e-01 7.780000000000000249e-01
7.910000000000000364e-01 7.860000000000000320e-01
8.416666666666666741e-01 8.199999999999999512e-01
8.199999999999999512e-01 8.159999999999999476e-01
8.383333333333333748e-01 8.219999999999999529e-01
8.386666666666666714e-01 8.080000000000000515e-01
8.226666666666666572e-01 8.020000000000000462e-01
8.313333333333333686e-01 8.199999999999999512e-01
8.213333333333333597e-01 7.900000000000000355e-01
8.173333333333333561e-01 7.980000000000000426e-01
8.399999999999999689e-01 8.299999999999999600e-01
