# train_acc test_acc
7.133333333333333193e-02 7.199999999999999456e-02
4.376666666666666483e-01 4.319999999999999951e-01
5.563333333333333464e-01 5.620000000000000551e-01
6.470000000000000195e-01 6.420000000000000151e-01
6.536666666666666181e-01 6.520000000000000240e-01
7.359999999999999876e-01 7.399999999999999911e-01
7.159999999999999698e-01 7.219999999999999751e-01
7.099999999999999645e-01 7.159999999999999698e-01
7.469999999999999973e-01 7.479999999999999982e-01
7.626666666666667149e-01 7.720000000000000195e-01
7.660000000000000142e-01 7.359999999999999876e-01
7.613333333333333064e-01 7.600000000000000089e-01
7.790000000000000258e-01 7.760000000000000231e-01
7.773333333333333206e-01 7.920000000000000373e-01
7.896666666666666279e-01 7.760000000000000231e-01
7.960000000000000409e-01 7.800000000000000266e-01
7.716666666666666119e-01 7.660000000000000142e-01
7.226666666666666794e-01 7.099999999999999645e-01
7.926666666666666305e-01 7.640000000000000124e-01
7.883333333333333304e-01 7.640000000000000124e-01
7.923333333333333339e-01 7.720000000000000195e-01
8.093333333333333490e-01 8.040000000000000480e-01
7.866666666666666252e-01 7.760000000000000231e-01
7.710000000000000187e-01 7.560000000000000053e-01
8.090000000000000524e-01 8.000000000000000444e-01
7.970000000000000417e-01 7.540000000000000036e-01
7.500000000000000000e-01 7.439999999999999947e-01
7.963333333333333375e-01 7.720000000000000195e-01
8.100000000000000533e-01 7.860000000000000320e-01
8.113333333333333508e-01 8.020000000000000462e-01
8.073333333333333472e-01 7.780000000000000249e-01
8.113333333333333508e-01 8.000000000000000444e-01
8.333333333333333703e-01 8.120000000000000551e-01
7.763333333333333197e-01 7.640000000000000124e-01
8.299999999999999600e-01 8.120000000000000551e-01
8.066666666666666430e-01 7.960000000000000409e-01
8.526666666666666838e-01 8.339999999999999636e-01
8.389999999999999680e-01 8.279999999999999583e-01
8.393333333333333757e-01 8.080000000000000515e-01
8.393333333333333757e-01 8.139999999999999458e-01
8.379999999999999671e-01 8.120000000000000551e-01
8.283333333333333659e-01 8.120000000000000551e-01
8.473333333333333828e-01 8.199999999999999512e-01
8.393333333333333757e-01 7.920000000000000373e-01
8.446666666666666767e-01 8.159999999999999476e-01
8.519999999999999796e-01 8.060000000000000497e-01
7.760000000000000231e-01 7.439999999999999947e-01
8.043333333333333446e-01 7.940000000000000391e-01
8.433333333333333792e-01 8.159999999999999476e-01
8.433333333333333792e-01 8.139999999999999458e-01
8.283333333333333659e-01 7.960000000000000409e-01
