# train_acc test_acc
8.833333333333333315e-02 9.400000000000000022e-02
3.079999999999999960e-01 2.999999999999999889e-01
3.416666666666666741e-01 3.360000000000000209e-01
3.616666666666666918e-01 3.420000000000000262e-01
4.603333333333333166e-01 4.600000000000000200e-01
5.246666666666666146e-01 5.340000000000000302e-01
5.603333333333333499e-01 5.699999999999999512e-01
5.886666666666666714e-01 5.839999999999999636e-01
6.733333333333333393e-01 6.760000000000000453e-01
6.223333333333332940e-01 6.239999999999999991e-01
6.590000000000000302e-01 6.879999999999999449e-01
6.353333333333333055e-01 6.600000000000000311e-01
6.750000000000000444e-01 7.139999999999999680e-01
6.840000000000000524e-01 7.039999999999999591e-01
6.763333333333333419e-01 6.959999999999999520e-01
6.959999999999999520e-01 6.800000000000000488e-01
6.933333333333333570e-01 6.919999999999999485e-01
7.133333333333333748e-01 7.039999999999999591e-01
7.239999999999999769e-01 7.399999999999999911e-01
6.866666666666666474e-01 6.760000000000000453e-01
6.986666666666666581e-01 6.720000000000000417e-01
7.389999999999999902e-01 7.660000000000000142e-01
7.109999999999999654e-01 7.199999999999999734e-01
7.243333333333333846e-01 7.540000000000000036e-01
7.159999999999999698e-01 6.919999999999999485e-01
7.660000000000000142e-01 7.780000000000000249e-01
7.643333333333333091e-01 7.520000000000000018e-01
7.506666666666667043e-01 7.560000000000000053e-01
7.213333333333333819e-01 7.399999999999999911e-01
7.703333333333333144e-01 7.820000000000000284e-01
7.479999999999999982e-01 7.540000000000000036e-01
7.596666666666667123e-01 7.439999999999999947e-01
7.316666666666666874e-01 6.959999999999999520e-01
7.810000000000000275e-01 7.780000000000000249e-01
7.610000000000000098e-01 7.620000000000000107e-01
7.473333333333332940e-01 7.199999999999999734e-01
7.703333333333333144e-01 7.700000000000000178e-01
7.333333333333332815e-01 7.500000000000000000e-01
7.753333333333333188e-01 7.680000000000000160e-01
7.676666666666667194e-01 7.660000000000000142e-01
7.773333333333333206e-01 7.620000000000000107e-01
7.416666666666666963e-01 7.580000000000000071e-01
7.770000000000000240e-01 7.640000000000000124e-01
7.716666666666666119e-01 7.479999999999999982e-01
7.836666666666666226e-01 7.580000000000000071e-01
7.730000000000000204e-01 7.359999999999999876e-01
7.680000000000000160e-01 7.560000000000000053e-01
7.786666666666666181e-01 7.620000000000000107e-01
7.750000000000000222e-01 7.680000000000000160e-01
7.850000000000000311e-01 7.680000000000000160e-01
7.723333333333333162e-01 7.700000000000000178e-01
