# train_acc test_acc
7.166666666666667018e-02 7.000000000000000666e-02
3.273333333333333095e-01 3.380000000000000226e-01
4.473333333333333606e-01 4.400000000000000022e-01
4.933333333333333459e-01 5.000000000000000000e-01
5.410000000000000364e-01 5.679999999999999494e-01
6.113333333333332842e-01 6.159999999999999920e-01
6.440000000000000169e-01 6.540000000000000258e-01
6.253333333333332966e-01 6.219999999999999973e-01
6.570000000000000284e-01 6.620000000000000329e-01
6.700000000000000400e-01 6.700000000000000400e-01
6.876666666666666483e-01 6.979999999999999538e-01
6.949999999999999512e-01 6.919999999999999485e-01
7.116666666666666696e-01 7.319999999999999840e-01
7.116666666666666696e-01 7.019999999999999574e-01
7.326666666666666883e-01 7.600000000000000089e-01
6.826666666666666439e-01 7.059999999999999609e-01
6.673333333333333339e-01 6.480000000000000204e-01
7.226666666666666794e-01 7.219999999999999751e-01
7.339999999999999858e-01 7.199999999999999734e-01
7.433333333333332904e-01 7.259999999999999787e-01
7.196666666666666767e-01 7.159999999999999698e-01
6.666666666666666297e-01 6.620000000000000329e-01
7.456666666666666998e-01 7.379999999999999893e-01
7.436666666666666980e-01 7.500000000000000000e-01
7.356666666666666909e-01 7.419999999999999929e-01
7.159999999999999698e-01 7.399999999999999911e-01
7.403333333333332877e-01 7.379999999999999893e-01
7.403333333333332877e-01 7.419999999999999929e-01
7.506666666666667043e-01 7.520000000000000018e-01
7.510000000000000009e-01 7.479999999999999982e-01
7.063333333333333686e-01 7.199999999999999734e-01
7.386666666666666936e-01 7.019999999999999574e-01
7.736666666666666137e-01 7.620000000000000107e-01
7.680000000000000160e-01 7.600000000000000089e-01
7.466666666666667007e-01 7.520000000000000018e-01
7.616666666666667140e-01 7.640000000000000124e-01
7.676666666666667194e-01 7.600000000000000089e-01
7.520000000000000018e-01 7.439999999999999947e-01
7.449999999999999956e-01 7.299999999999999822e-01
7.800000000000000266e-01 7.660000000000000142e-01
7.596666666666667123e-01 7.359999999999999876e-01
7.056666666666666643e-01 7.119999999999999662e-01
7.656666666666667176e-01 7.740000000000000213e-01
7.860000000000000320e-01 7.740000000000000213e-01
7.866666666666666252e-01 7.580000000000000071e-01
7.800000000000000266e-01 7.660000000000000142e-01
7.990000000000000435e-01 7.820000000000000284e-01
7.820000000000000284e-01 7.780000000000000249e-01
7.910000000000000364e-01 7.760000000000000231e-01
7.823333333333333250e-01 7.419999999999999929e-01
7.866666666666666252e-01 7.860000000000000320e-01
