# train_acc test_acc
7.166666666666667018e-02 7.000000000000000666e-02
2.626666666666666594e-01 2.859999999999999765e-01
4.246666666666666923e-01 4.380000000000000004e-01
4.403333333333333544e-01 4.219999999999999862e-01
5.663333333333333552e-01 5.460000000000000409e-01
5.653333333333333544e-01 5.839999999999999636e-01
5.819999999999999618e-01 5.739999999999999547e-01
6.243333333333332957e-01 6.139999999999999902e-01
6.253333333333332966e-01 6.300000000000000044e-01
6.423333333333333117e-01 6.159999999999999920e-01
6.373333333333333073e-01 6.280000000000000027e-01
6.813333333333333464e-01 6.760000000000000453e-01
6.696666666666666323e-01 6.580000000000000293e-01
6.943333333333333579e-01 6.939999999999999503e-01
6.953333333333333588e-01 7.039999999999999591e-01
6.866666666666666474e-01 6.879999999999999449e-01
6.999999999999999556e-01 7.099999999999999645e-01
6.973333333333333606e-01 7.219999999999999751e-01
7.136666666666666714e-01 6.939999999999999503e-01
7.166666666666666741e-01 7.119999999999999662e-01
7.226666666666666794e-01 7.059999999999999609e-01
7.293333333333332780e-01 7.399999999999999911e-01
7.119999999999999662e-01 7.019999999999999574e-01
7.116666666666666696e-01 7.079999999999999627e-01
7.276666666666666838e-01 7.399999999999999911e-01
7.279999999999999805e-01 7.259999999999999787e-01
7.183333333333333792e-01 7.279999999999999805e-01
7.406666666666666954e-01 7.279999999999999805e-01
7.216666666666666785e-01 7.339999999999999858e-01
7.366666666666666918e-01 7.459999999999999964e-01
7.446666666666666989e-01 7.119999999999999662e-01
7.570000000000000062e-01 7.560000000000000053e-01
7.783333333333333215e-01 7.600000000000000089e-01
6.926666666666666528e-01 7.039999999999999591e-01
7.720000000000000195e-01 7.560000000000000053e-01
7.099999999999999645e-01 6.840000000000000524e-01
7.486666666666667025e-01 7.199999999999999734e-01
7.650000000000000133e-01 7.540000000000000036e-01
7.683333333333333126e-01 7.479999999999999982e-01
7.656666666666667176e-01 7.399999999999999911e-01
7.690000000000000169e-01 7.680000000000000160e-01
7.826666666666666217e-01 7.760000000000000231e-01
7.806666666666666199e-01 7.600000000000000089e-01
7.883333333333333304e-01 7.920000000000000373e-01
7.636666666666667158e-01 7.459999999999999964e-01
7.946666666666666323e-01 7.600000000000000089e-01
7.636666666666667158e-01 7.439999999999999947e-01
7.626666666666667149e-01 7.439999999999999947e-01
7.910000000000000364e-01 7.720000000000000195e-01
7.776666666666666172e-01 7.700000000000000178e-01
7.836666666666666226e-01 7.580000000000000071e-01
