# train_acc test_acc
7.133333333333333193e-02 7.199999999999999456e-02
3.320000000000000173e-01 3.499999999999999778e-01
3.143333333333333535e-01 3.200000000000000067e-01
3.960000000000000187e-01 3.820000000000000062e-01
4.826666666666666883e-01 4.839999999999999858e-01
5.193333333333333135e-01 5.060000000000000053e-01
5.496666666666666368e-01 5.639999999999999458e-01
6.343333333333333046e-01 6.480000000000000204e-01
6.640000000000000346e-01 6.620000000000000329e-01
6.053333333333332789e-01 5.979999999999999760e-01
6.543333333333333224e-01 6.660000000000000364e-01
6.423333333333333117e-01 6.340000000000000080e-01
6.049999999999999822e-01 6.239999999999999991e-01
6.763333333333333419e-01 6.999999999999999556e-01
7.123333333333333739e-01 7.319999999999999840e-01
7.049999999999999600e-01 7.019999999999999574e-01
7.139999999999999680e-01 7.159999999999999698e-01
7.153333333333333766e-01 7.099999999999999645e-01
7.299999999999999822e-01 7.059999999999999609e-01
7.433333333333332904e-01 7.359999999999999876e-01
7.593333333333333046e-01 7.459999999999999964e-01
7.510000000000000009e-01 7.640000000000000124e-01
7.383333333333332860e-01 7.339999999999999858e-01
7.650000000000000133e-01 7.660000000000000142e-01
7.419999999999999929e-01 6.999999999999999556e-01
7.399999999999999911e-01 7.199999999999999734e-01
7.680000000000000160e-01 7.459999999999999964e-01
7.800000000000000266e-01 7.459999999999999964e-01
7.766666666666666163e-01 7.540000000000000036e-01
7.650000000000000133e-01 7.479999999999999982e-01
7.710000000000000187e-01 7.359999999999999876e-01
7.179999999999999716e-01 7.299999999999999822e-01
7.496666666666667034e-01 7.500000000000000000e-01
7.640000000000000124e-01 7.439999999999999947e-01
7.800000000000000266e-01 7.680000000000000160e-01
7.870000000000000329e-01 7.620000000000000107e-01
7.753333333333333188e-01 7.479999999999999982e-01
7.713333333333333153e-01 7.560000000000000053e-01
7.686666666666667203e-01 7.700000000000000178e-01
7.313333333333332797e-01 6.979999999999999538e-01
7.883333333333333304e-01 7.540000000000000036e-01
7.803333333333333233e-01 7.660000000000000142e-01
7.830000000000000293e-01 7.720000000000000195e-01
7.960000000000000409e-01 7.940000000000000391e-01
6.820000000000000506e-01 6.760000000000000453e-01
8.016666666666666385e-01 7.580000000000000071e-01
7.963333333333333375e-01 7.740000000000000213e-01
7.750000000000000222e-01 7.600000000000000089e-01
8.023333333333333428e-01 7.760000000000000231e-01
7.883333333333333304e-01 7.740000000000000213e-01
8.090000000000000524e-01 7.720000000000000195e-01
