# train_acc test_acc
6.966666666666666841e-02 7.000000000000000666e-02
5.513333333333333419e-01 5.440000000000000391e-01
5.623333333333333517e-01 5.799999999999999600e-01
6.493333333333333179e-01 6.540000000000000258e-01
5.923333333333333783e-01 6.099999999999999867e-01
6.843333333333333490e-01 6.840000000000000524e-01
7.099999999999999645e-01 7.099999999999999645e-01
6.543333333333333224e-01 6.640000000000000346e-01
7.373333333333332851e-01 7.479999999999999982e-01
7.256666666666666821e-01 7.159999999999999698e-01
7.636666666666667158e-01 7.560000000000000053e-01
7.723333333333333162e-01 7.620000000000000107e-01
7.376666666666666927e-01 7.379999999999999893e-01
7.810000000000000275e-01 7.780000000000000249e-01
6.833333333333333481e-01 6.600000000000000311e-01
7.786666666666666181e-01 7.780000000000000249e-01
7.963333333333333375e-01 7.780000000000000249e-01
7.973333333333333384e-01 7.900000000000000355e-01
8.116666666666666474e-01 7.860000000000000320e-01
7.950000000000000400e-01 7.700000000000000178e-01
8.066666666666666430e-01 7.780000000000000249e-01
7.786666666666666181e-01 7.359999999999999876e-01
7.720000000000000195e-01 7.379999999999999893e-01
8.256666666666666599e-01 8.239999999999999547e-01
7.850000000000000311e-01 7.860000000000000320e-01
8.169999999999999485e-01 8.239999999999999547e-01
8.219999999999999529e-01 7.940000000000000391e-01
8.229999999999999538e-01 7.900000000000000355e-01
8.206666666666666554e-01 8.120000000000000551e-01
7.946666666666666323e-01 7.780000000000000249e-01
7.650000000000000133e-01 7.319999999999999840e-01
8.086666666666666448e-01 7.940000000000000391e-01
8.359999999999999654e-01 8.179999999999999494e-01
8.146666666666666501e-01 7.840000000000000302e-01
8.319999999999999618e-01 8.339999999999999636e-01
8.356666666666666687e-01 8.040000000000000480e-01
8.399999999999999689e-01 8.179999999999999494e-01
8.143333333333333535e-01 7.680000000000000160e-01
8.463333333333333819e-01 8.339999999999999636e-01
8.329999999999999627e-01 8.120000000000000551e-01
8.493333333333333846e-01 8.399999999999999689e-01
8.016666666666666385e-01 7.820000000000000284e-01
8.419999999999999707e-01 8.179999999999999494e-01
8.279999999999999583e-01 8.060000000000000497e-01
8.329999999999999627e-01 7.860000000000000320e-01
8.289999999999999591e-01 7.960000000000000409e-01
8.476666666666666794e-01 8.499999999999999778e-01
8.453333333333333810e-01 8.199999999999999512e-01
8.556666666666666865e-01 8.419999999999999707e-01
8.479999999999999760e-01 8.159999999999999476e-01
8.506666666666666821e-01 8.319999999999999618e-01
