# train_acc test_acc
7.166666666666667018e-02 7.000000000000000666e-02
5.886666666666666714e-01 5.999999999999999778e-01
5.000000000000000000e-01 4.759999999999999787e-01
5.929999999999999716e-01 5.679999999999999494e-01
6.393333333333333091e-01 6.420000000000000151e-01
6.083333333333332815e-01 6.059999999999999831e-01
6.206666666666666998e-01 5.939999999999999725e-01
6.403333333333333099e-01 6.079999999999999849e-01
6.996666666666666590e-01 6.879999999999999449e-01
6.246666666666667034e-01 6.280000000000000027e-01
6.873333333333333517e-01 6.680000000000000382e-01
6.323333333333333028e-01 6.380000000000000115e-01
7.303333333333332789e-01 7.259999999999999787e-01
6.946666666666666545e-01 6.999999999999999556e-01
7.179999999999999716e-01 7.119999999999999662e-01
7.446666666666666989e-01 7.279999999999999805e-01
7.513333333333332975e-01 7.439999999999999947e-01
7.516666666666667052e-01 7.259999999999999787e-01
7.359999999999999876e-01 7.159999999999999698e-01
7.576666666666667105e-01 7.520000000000000018e-01
7.610000000000000098e-01 7.500000000000000000e-01
8.053333333333333455e-01 7.820000000000000284e-01
7.950000000000000400e-01 7.880000000000000338e-01
7.830000000000000293e-01 7.500000000000000000e-01
7.833333333333333259e-01 7.580000000000000071e-01
8.256666666666666599e-01 8.159999999999999476e-01
7.886666666666666270e-01 7.500000000000000000e-01
8.339999999999999636e-01 8.100000000000000533e-01
8.486666666666666803e-01 8.179999999999999494e-01
8.356666666666666687e-01 8.040000000000000480e-01
8.363333333333333730e-01 8.299999999999999600e-01
8.156666666666666510e-01 7.860000000000000320e-01
8.469999999999999751e-01 8.439999999999999725e-01
8.559999999999999831e-01 8.279999999999999583e-01
8.716666666666667007e-01 8.299999999999999600e-01
8.806666666666667087e-01 8.359999999999999654e-01
8.793333333333333002e-01 8.339999999999999636e-01
8.750000000000000000e-01 8.379999999999999671e-01
8.369999999999999662e-01 8.399999999999999689e-01
8.780000000000000027e-01 8.459999999999999742e-01
8.860000000000000098e-01 8.559999999999999831e-01
8.840000000000000080e-01 8.499999999999999778e-01
8.800000000000000044e-01 8.800000000000000044e-01
8.840000000000000080e-01 8.579999999999999849e-01
8.950000000000000178e-01 8.639999999999999902e-01
8.876666666666667149e-01 8.359999999999999654e-01
8.866666666666667140e-01 8.479999999999999760e-01
8.756666666666667043e-01 8.479999999999999760e-01
9.030000000000000249e-01 8.659999999999999920e-01
8.830000000000000071e-01 8.519999999999999796e-01
9.046666666666666190e-01 8.659999999999999920e-01
