# train_acc test_acc
7.133333333333333193e-02 7.199999999999999456e-02
5.593333333333333490e-01 5.639999999999999458e-01
5.106666666666667131e-01 5.180000000000000160e-01
6.166666666666666963e-01 6.139999999999999902e-01
6.563333333333333242e-01 6.460000000000000187e-01
6.720000000000000417e-01 6.600000000000000311e-01
6.883333333333333526e-01 6.840000000000000524e-01
7.339999999999999858e-01 7.039999999999999591e-01
7.373333333333332851e-01 7.399999999999999911e-01
7.486666666666667025e-01 7.279999999999999805e-01
7.306666666666666865e-01 7.179999999999999716e-01
7.439999999999999947e-01 7.399999999999999911e-01
7.690000000000000169e-01 7.600000000000000089e-01
7.736666666666666137e-01 7.640000000000000124e-01
7.796666666666666190e-01 7.640000000000000124e-01
7.983333333333333393e-01 7.720000000000000195e-01
7.760000000000000231e-01 7.520000000000000018e-01
8.149999999999999467e-01 7.980000000000000426e-01
8.169999999999999485e-01 7.860000000000000320e-01
8.153333333333333544e-01 7.920000000000000373e-01
8.313333333333333686e-01 8.040000000000000480e-01
8.396666666666666723e-01 8.199999999999999512e-01
8.403333333333333766e-01 8.080000000000000515e-01
8.143333333333333535e-01 8.020000000000000462e-01
7.983333333333333393e-01 7.820000000000000284e-01
8.419999999999999707e-01 7.940000000000000391e-01
8.226666666666666572e-01 8.120000000000000551e-01
8.623333333333332851e-01 8.339999999999999636e-01
8.589999999999999858e-01 8.239999999999999547e-01
8.506666666666666821e-01 8.179999999999999494e-01
8.566666666666666874e-01 8.339999999999999636e-01
8.533333333333333881e-01 8.120000000000000551e-01
8.756666666666667043e-01 8.319999999999999618e-01
8.783333333333332993e-01 8.359999999999999654e-01
8.593333333333332824e-01 8.399999999999999689e-01
8.803333333333333011e-01 8.519999999999999796e-01
8.850000000000000089e-01 8.499999999999999778e-01
8.656666666666666954e-01 8.299999999999999600e-01
8.823333333333333028e-01 8.479999999999999760e-01
8.613333333333332842e-01 8.199999999999999512e-01
8.753333333333332966e-01 8.499999999999999778e-01
8.693333333333332913e-01 8.399999999999999689e-01
8.940000000000000169e-01 8.719999999999999973e-01
8.933333333333333126e-01 8.499999999999999778e-01
8.863333333333333064e-01 8.539999999999999813e-01
8.583333333333332815e-01 8.559999999999999831e-01
8.299999999999999600e-01 8.219999999999999529e-01
8.793333333333333002e-01 8.519999999999999796e-01
8.826666666666667105e-01 8.479999999999999760e-01
8.866666666666667140e-01 8.559999999999999831e-01
8.776666666666667060e-01 8.639999999999999902e-01
