# train_acc test_acc
7.199999999999999456e-02 7.199999999999999456e-02
4.969999999999999973e-01 5.080000000000000071e-01
4.783333333333333326e-01 4.560000000000000164e-01
6.353333333333333055e-01 6.440000000000000169e-01
6.486666666666666137e-01 6.360000000000000098e-01
6.886666666666666492e-01 6.640000000000000346e-01
6.580000000000000293e-01 6.600000000000000311e-01
7.063333333333333686e-01 6.700000000000000400e-01
7.253333333333333854e-01 7.099999999999999645e-01
6.476666666666666128e-01 6.380000000000000115e-01
7.446666666666666989e-01 7.239999999999999769e-01
7.126666666666666705e-01 6.959999999999999520e-01
7.613333333333333064e-01 7.259999999999999787e-01
6.993333333333333623e-01 6.780000000000000471e-01
7.863333333333333286e-01 7.560000000000000053e-01
7.863333333333333286e-01 7.720000000000000195e-01
7.916666666666666297e-01 7.620000000000000107e-01
8.090000000000000524e-01 7.800000000000000266e-01
8.046666666666666412e-01 7.600000000000000089e-01
8.459999999999999742e-01 8.100000000000000533e-01
8.326666666666666661e-01 8.100000000000000533e-01
8.090000000000000524e-01 7.800000000000000266e-01
8.519999999999999796e-01 8.319999999999999618e-01
7.976666666666666350e-01 7.580000000000000071e-01
8.533333333333333881e-01 8.379999999999999671e-01
8.706666666666666998e-01 8.499999999999999778e-01
8.736666666666667025e-01 8.499999999999999778e-01
8.616666666666666918e-01 8.399999999999999689e-01
8.456666666666666776e-01 8.020000000000000462e-01
8.389999999999999680e-01 7.920000000000000373e-01
8.736666666666667025e-01 8.519999999999999796e-01
8.813333333333333020e-01 8.579999999999999849e-01
8.816666666666667096e-01 8.679999999999999938e-01
8.843333333333333046e-01 8.579999999999999849e-01
8.866666666666667140e-01 8.639999999999999902e-01
8.853333333333333055e-01 8.539999999999999813e-01
8.990000000000000213e-01 8.639999999999999902e-01
8.856666666666667131e-01 8.619999999999999885e-01
8.913333333333333108e-01 8.559999999999999831e-01
9.086666666666666226e-01 8.739999999999999991e-01
9.090000000000000302e-01 8.780000000000000027e-01
9.036666666666666181e-01 8.760000000000000009e-01
8.993333333333333179e-01 8.780000000000000027e-01
9.083333333333333259e-01 8.699999999999999956e-01
8.646666666666666945e-01 8.399999999999999689e-01
9.183333333333333348e-01 8.739999999999999991e-01
8.913333333333333108e-01 8.559999999999999831e-01
9.040000000000000258e-01 8.559999999999999831e-01
9.040000000000000258e-01 8.760000000000000009e-01
9.173333333333333339e-01 8.659999999999999920e-01
8.993333333333333179e-01 8.559999999999999831e-01
