# train_acc test_acc
7.133333333333333193e-02 7.199999999999999456e-02
4.689999999999999725e-01 4.839999999999999858e-01
6.036666666666666847e-01 6.179999999999999938e-01
5.749999999999999556e-01 5.580000000000000515e-01
6.556666666666666199e-01 6.580000000000000293e-01
6.893333333333333535e-01 6.600000000000000311e-01
7.233333333333333837e-01 7.079999999999999627e-01
7.259999999999999787e-01 7.099999999999999645e-01
6.896666666666666501e-01 6.840000000000000524e-01
7.343333333333332824e-01 7.219999999999999751e-01
7.566666666666667096e-01 7.379999999999999893e-01
7.429999999999999938e-01 7.279999999999999805e-01
7.733333333333333171e-01 7.560000000000000053e-01
7.916666666666666297e-01 7.640000000000000124e-01
7.796666666666666190e-01 7.560000000000000053e-01
7.946666666666666323e-01 7.620000000000000107e-01
8.199999999999999512e-01 7.800000000000000266e-01
8.153333333333333544e-01 7.960000000000000409e-01
8.263333333333333641e-01 8.080000000000000515e-01
8.246666666666666590e-01 7.820000000000000284e-01
8.373333333333333739e-01 8.120000000000000551e-01
8.279999999999999583e-01 7.980000000000000426e-01
8.633333333333332860e-01 8.279999999999999583e-01
8.606666666666666909e-01 8.239999999999999547e-01
8.289999999999999591e-01 8.100000000000000533e-01
8.256666666666666599e-01 7.960000000000000409e-01
8.643333333333332869e-01 8.259999999999999565e-01
8.613333333333332842e-01 8.139999999999999458e-01
8.653333333333332877e-01 8.319999999999999618e-01
8.699999999999999956e-01 8.239999999999999547e-01
8.523333333333333872e-01 8.259999999999999565e-01
8.796666666666667078e-01 8.379999999999999671e-01
8.773333333333332984e-01 8.359999999999999654e-01
8.619999999999999885e-01 8.439999999999999725e-01
8.770000000000000018e-01 8.499999999999999778e-01
8.853333333333333055e-01 8.399999999999999689e-01
8.750000000000000000e-01 8.499999999999999778e-01
8.449999999999999734e-01 8.139999999999999458e-01
8.576666666666666883e-01 8.259999999999999565e-01
8.563333333333332797e-01 8.299999999999999600e-01
8.266666666666666607e-01 7.880000000000000338e-01
8.850000000000000089e-01 8.459999999999999742e-01
8.703333333333332922e-01 8.339999999999999636e-01
8.910000000000000142e-01 8.539999999999999813e-01
8.863333333333333064e-01 8.359999999999999654e-01
8.916666666666667185e-01 8.739999999999999991e-01
8.860000000000000098e-01 8.399999999999999689e-01
8.976666666666666128e-01 8.619999999999999885e-01
8.623333333333332851e-01 8.419999999999999707e-01
8.723333333333332940e-01 8.439999999999999725e-01
8.823333333333333028e-01 8.579999999999999849e-01
